title,winery,millesime,designation,variety,country,province,region_1,region_2,price,points,description,taster_name,taster_twitter_handle,clean,predicted_price
Domaine des Croix 2016  Corton Grèves,Domaine des Croix,2016,,Pinot Noir,France,Burgundy,Corton Grèves,,,94,"Firm and solid with great swathes of black fruits as well as dense tannins. Ripe fruits are a major element of this concentrated wine. The wine has power and a firm tannic core, and certainly needs aging for seven years.",Roger Voss,@vossroger,firm solid great swathe black fruit well dense tannin ripe fruit major element concentrate wine wine power firm tannic core certainly need age seven year,52
Domaine des Croix 2017 La Vigne au Saint  (Corton),Domaine des Croix,2017,La Vigne au Saint,Pinot Noir,France,Burgundy,Corton,,,94,"A rich wine with great fruits as well as structure. It has the weight and great concentration of a grand cru selection. Plum fruits and acidity offer the potential for long aging. It's powerful, while also showing elegance. Age for 6–8 years.",Roger Voss,@vossroger,rich wine great fruit well structure weight great concentration grand cru selection plum fruit acidity offer potential long age powerful also show elegance age 6–8 year,50
Domaine des Croix 2016  Beaune,Domaine des Croix,2016,,Pinot Noir,France,Burgundy,Beaune,,,90,"A perfumed village wine, this is made from four different parcels. The wine offers an attractive touch of tannin and spice to go with the forward red fruits. It should develop relatively quickly, and will be ready to drink from 2022.",Roger Voss,@vossroger,perfume village wine make four different parcel wine offer attractive touch tannin spice go forward red fruit develop relatively quickly ready drink 2022,51
Domaine des Croix 2019  Beaune,Domaine des Croix,2019,,Pinot Noir,France,Burgundy,Beaune,,,90,"A structured wine, packed with red fruits and delightful acidity. There is a core of dark tannin and a solid structure as well as the bright freshness at the end. Because it has this structure, it's worth aging for 4–5 years.",Roger Voss,@vossroger,structure wine pack red fruit delightful acidity core dark tannin solid structure well bright freshness end structure worth age 4–5 year,52
Domaine des Croix 2017 Les Grèves Premier Cru  (Beaune),Domaine des Croix,2017,Les Grèves Premier Cru,Pinot Noir,France,Burgundy,Beaune,,,94,"This wine is perfumed with cherries and red berries. Its structure, which is certainly there, is almost secondary to this brilliant fruit. Balanced with a mineral dryness, the wine is certainly going to age into a ripe, pure-fruited wine. Drink from 2024.",Roger Voss,@vossroger,wine perfume cherry red berry structure certainly almost secondary brilliant fruit balanced mineral dryness wine certainly go age ripe purefruite wine drink 2024,58
Domaine des Croix 2015  Beaune,Domaine des Croix,2015,,Pinot Noir,France,Burgundy,Beaune,,,90,"A structured wine, packed with red fruits and delightful acidity. There is a core of dark tannin and a solid structure as well as the bright freshness at the end. Because it has this structure, it's worth aging for 4–5 years.",Roger Voss,@vossroger,structure wine pack red fruit delightful acidity core dark tannin solid structure well bright freshness end structure worth age 4–5 year,55
Domaine des Croix 2018 Les Cent-Vignes Premier Cru  (Beaune),Domaine des Croix,2018,Les Cent-Vignes Premier Cru,Pinot Noir,France,Burgundy,Beaune,,,93,"While this wine is firm, with some fine tannins, it also has a pure line in fresh strawberry fruits that will develop as the tannins soften. This perfumed wine will develop slowly. Drink from 2024.",Roger Voss,@vossroger,wine firm fine tannin also pure line fresh strawberry fruit develop tannin soften perfume wine develop slowly drink 2024,56
Domaine des Croix 2016 Grèves  (Corton),Domaine des Croix,2016,Grèves,Pinot Noir,France,Burgundy,Corton,,,95,"This wine has a smoky character that gives an exotic touch to the red fruits. It comes from 60-year old vines that give concentration and dark tannins. As it ages, the wine will broaden and expand to convey opulence and richness. Drink from 2022.",Roger Voss,@vossroger,wine smoky character give exotic touch red fruit come 60year old vine give concentration dark tannin age wine broaden expand convey opulence richness drink 2022,54
Domaine des Croix 2018 La Vigne au Saint  (Corton),Domaine des Croix,2018,La Vigne au Saint,Pinot Noir,France,Burgundy,Corton,,,95,"Dark fruit backs up the dense, dark and firm character of this wine. There is sweetness from the ripe fruits into which the tannins fall, leaving a trace of dryness at the end. A fine wine with a great future; drink from 2022.",Roger Voss,@vossroger,dark fruit back dense dark firm character wine sweetness ripe fruit tannin fall leave trace dryness end fine wine great future drink 2022,50
Domaine des Croix 2019 Bressandes Premier Cru  (Beaune),Domaine des Croix,2019,Bressandes Premier Cru,Pinot Noir,France,Burgundy,Beaune,,,94,"A fine, mineral, structured wine with a very dry, solid core. Juicy red fruits offer a hint for its future ripeness. It has the freshness of the vintage that shows through at the end of this chunky wine. Age for 5–7 years.",Roger Voss,@vossroger,fine mineral structure wine dry solid core juicy red fruit offer hint future ripeness freshness vintage show end chunky wine age 5–7 year,59
Domaine des Croix 2018 Les Bressandes Premier Cru  (Beaune),Domaine des Croix,2018,Les Bressandes Premier Cru,Pinot Noir,France,Burgundy,Beaune,,,93,"From one of the top Beaune premier-cru vineyards, this wine is dark and dense with hints of wood as well as chocolate. To balance this, the ripe berry fruit is right there, deliciously fresh and with a tight line of acidity. A wine with a future, it is not ready to drink before 2024.",Roger Voss,@vossroger,one top beaune premiercru vineyard wine dark dense hint wood well chocolate balance ripe berry fruit right deliciously fresh tight line acidity wine future ready drink 2024,56
Domaine des Croix 2014 Pertuisots Premier Cru  (Beaune),Domaine des Croix,2014,Pertuisots Premier Cru,Pinot Noir,France,Burgundy,Beaune,,,92,"Made from fruit sourced from a small premier cru that's located next to the famous Clos des Mouches, this is juicy, round and ripe, with a great swathe of soft, fleshy tannins.",Roger Voss,@vossroger,make fruit source small premier cru that s locate next famous clos des mouche juicy round ripe great swathe soft fleshy tannin,57
Domaine des Croix 2014  Corton-Charlemagne,Domaine des Croix,2014,,Chardonnay,France,Burgundy,Corton-Charlemagne,,,95,"A dry, mineral wine, hiding its potential richness. Flavors of ripe pears and yellow fruits are matched by lime acidity. The wine has considerable power and a dense character, showing the immense density that comes from this vineyard. Age for 4–6 years and more.",Roger Voss,@vossroger,dry mineral wine hide potential richness flavor ripe pear yellow fruit match lime acidity wine considerable power dense character show immense density come vineyard age 4–6 year,51
Domaine des Croix 2018 Les Peuillets Premier Cru  (Savigny-lès-Beaune),Domaine des Croix,2018,Les Peuillets Premier Cru,Pinot Noir,France,Burgundy,Savigny-lès-Beaune,,,92,"This wine has firm tannins and a dry, structured core. From vines that are close to Beaune, it is dense and concentrated, although with the pure fruit that marks out the vintage. It is going to develop well and with great style.",Roger Voss,@vossroger,wine firm tannin dry structure core vine close beaune dense concentrate although pure fruit mark vintage going develop well great style,44
